month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2024-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8225.954,1301,6.321252
2024-04-01,Bronx,2,LCL/LTD,BX19,Peak,3205.58,523,6.121001
2024-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24454.803,4304,5.6817102
2024-05-01,Bronx,1,LCL/LTD,BX19,Peak,9576.309,1863,5.1389723
2024-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8677.312,1377,6.300131
2024-05-01,Bronx,2,LCL/LTD,BX19,Peak,3359.861,543,6.177272
2024-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22720.953,3947,5.756461
2024-06-01,Bronx,1,LCL/LTD,BX19,Peak,9247.724,1736,5.324557
2024-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9403.976,1505,6.245518
2024-06-01,Bronx,2,LCL/LTD,BX19,Peak,3454.073,569,6.0630836
2024-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24179.152,4183,5.7801895
2024-07-01,Bronx,1,LCL/LTD,BX19,Peak,9892.02,1844,5.3620887
2024-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8442.391,1367,6.1720753
2024-07-01,Bronx,2,LCL/LTD,BX19,Peak,3232.93,534,6.0523973
2024-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24893.104,4327,5.7523775
2024-08-01,Bronx,1,LCL/LTD,BX19,Peak,10166.083,1924,5.282092
2024-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8391.108,1380,6.0765157
2024-08-01,Bronx,2,LCL/LTD,BX19,Peak,3226.315,557,5.7857428
2024-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23823,4120,5.7811036
2024-09-01,Bronx,1,LCL/LTD,BX19,Peak,9421.138,1777,5.299194
2024-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9834.004,1572,6.2532525
2024-09-01,Bronx,2,LCL/LTD,BX19,Peak,3802.147,630,6.0321164
2024-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,27000.453,4620,5.8438573
2024-10-01,Bronx,1,LCL/LTD,BX19,Peak,10438.722,1968,5.302216
2024-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8001.69,1272,6.2896533
2024-10-01,Bronx,2,LCL/LTD,BX19,Peak,3064.885,500,6.1239386
2024-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,21976.156,3795,5.7904716
2024-11-01,Bronx,1,LCL/LTD,BX19,Peak,8372.437,1598,5.237719
2024-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11020.64,1760,6.261168
2024-11-01,Bronx,2,LCL/LTD,BX19,Peak,4187.39,693,6.0390983
2024-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23326.902,3937,5.9238095
2024-12-01,Bronx,1,LCL/LTD,BX19,Peak,8987.603,1667,5.39131
2024-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9825.546,1503,6.535578
2024-12-01,Bronx,2,LCL/LTD,BX19,Peak,3756.02,602,6.231527
